client_id,payment_date,amount_paid,payment_method
6292156167,9/16/2019,447,Bank Transfer
7462725203,5/21/2018,379.7,Bank Transfer
4698004907,9/11/2021,435.1,Check
3510240337,12/7/2020,413.1,Check
7501599785,3/4/2019,61.1,Bank Transfer
8719792472,2/10/2018,73.8,Credit Card
3325348894,7/9/2019,348.1,Credit Card
9031632460,7/6/2019,222.9,Check
5319487809,3/2/2019,90.7,Bank Transfer
4280387012,11/25/2022,77.1,Check
3891000577,8/16/2020,241.2,Bank Transfer
5396477027,2/13/2021,494.6,Check
1089413096,4/21/2019,453.6,Credit Card
5536015034,11/15/2019,65.4,Credit Card
7513745319,9/17/2020,284.5,Credit Card
3878940490,5/23/2018,489.4,Bank Transfer
6128700542,10/11/2019,490.7,Check
3183675157,12/25/2021,261.1,Bank Transfer
2486393352,12/2/2021,108.5,Bank Transfer
3683504527,4/12/2018,202.4,Check
4343385571,11/28/2018,216.6,Check
5421990790,7/10/2018,68.1,Check
9626357024,9/25/2022,275.5,Check
4387541014,11/8/2018,322.4,Bank Transfer
2095513148,11/3/2021,470.8,Check
7207890733,9/19/2020,209,Bank Transfer
2282502805,6/4/2021,69.6,Credit Card
6102589964,12/30/2019,425.7,Credit Card
4687291312,6/14/2019,184.2,Bank Transfer
2609337231,11/4/2020,415.9,Check
9329180414,6/3/2021,208.7,Credit Card
4361672518,1/24/2019,466.4,Bank Transfer
4475229416,5/1/2019,410.2,Check
2315920532,4/1/2019,191.1,Bank Transfer
5762095219,6/2/2021,365.6,Check
6774252233,12/12/2018,402.6,Bank Transfer
8540187780,2/16/2021,300.7,Bank Transfer
2623363792,6/28/2021,197.4,Bank Transfer
3411013676,12/20/2022,88.6,Check
5983139564,3/29/2020,120.7,Bank Transfer
2083869816,5/16/2019,386.8,Credit Card
3185596104,11/14/2022,196.5,Bank Transfer
7776577102,12/17/2020,286,Credit Card
9166568761,8/14/2020,139.7,Credit Card
4309371709,5/24/2021,368.4,Check
6955217420,7/7/2019,373.7,Bank Transfer
3034831019,7/28/2022,251.9,Check
9714663815,11/11/2020,371.1,Credit Card
8093537819,9/14/2019,207.3,Credit Card
5387264885,3/6/2022,374.5,Credit Card
7896208406,2/24/2022,291,Credit Card
7925430606,8/29/2022,407.6,Bank Transfer
9699223737,4/3/2018,240.9,Bank Transfer
9038553168,5/24/2019,467.4,Check
5481743788,4/3/2020,289.2,Credit Card
5059906722,12/14/2018,235.7,Bank Transfer
4194777577,12/18/2021,196.4,Bank Transfer
8207710174,12/19/2018,216.7,Check
1731644238,7/26/2021,249.5,Bank Transfer
6751372012,5/29/2018,465,Bank Transfer
6366816003,2/17/2022,198.5,Credit Card
5366653014,11/13/2020,160.4,Check
8884551090,9/2/2022,285,Check
1077708772,7/6/2019,417,Credit Card
2096479553,1/25/2020,186.7,Check
6209923307,7/5/2021,410.6,Bank Transfer
5443254615,6/25/2020,433.5,Check
9842414729,11/11/2022,308.7,Credit Card
6827368515,6/3/2018,190.9,Bank Transfer
8351222782,2/14/2022,97.1,Bank Transfer
6677954339,1/1/2022,343.7,Credit Card
7744303708,10/11/2022,461.5,Bank Transfer
2490056820,4/4/2020,81,Credit Card
5217987067,7/19/2019,227.8,Check
4519356806,3/4/2018,116.9,Bank Transfer
1131383004,11/11/2020,446,Credit Card
3758633299,4/24/2021,388.5,Bank Transfer
6296057401,7/21/2018,384.5,Credit Card
9598980006,6/16/2019,77.4,Bank Transfer
9085185732,5/18/2018,463.4,Check
6597925149,12/29/2019,118,Bank Transfer
8004867726,6/16/2019,205.4,Check
1298566280,9/1/2019,480.3,Credit Card
3146624321,4/9/2022,460.8,Credit Card
5157113076,11/7/2019,416.7,Check
1629048404,2/23/2021,181.1,Credit Card
4760390973,1/6/2022,343,Check
7225516707,1/19/2021,315.7,Bank Transfer
6983985081,11/15/2021,493.1,Check
5980553707,8/30/2021,312.9,Credit Card
5371694837,3/14/2020,424.2,Bank Transfer
6038028440,12/3/2018,91,Bank Transfer
3157098196,11/11/2021,107.7,Bank Transfer
5698091148,8/4/2020,302.1,Credit Card
3785313879,6/6/2022,93.8,Bank Transfer
8155233099,6/3/2020,265.9,Credit Card
9752784850,9/15/2021,286.8,Credit Card
8988409533,5/15/2020,163.2,Credit Card
7465144773,9/7/2021,434.6,Check
9159056053,5/28/2022,486.4,Check
